Geneid,log2FoldChange,pvalue,padj
Os01g0897800,-0.41211949,0.006333726,0.036708676
Os11g0512100,0.744863184,0.006327644,0.036681727
Os05g0348700,-1.426549196,0.006320855,0.036653469
Os12g0635500,-0.795598666,0.006321339,0.036653469
Os06g0686600,0.963969451,0.0063127,0.036619947
Os04g0514800,0.662922447,0.006295932,0.036536408
Os11g0210100,1.924402412,0.006296873,0.036536408
Os01g0570700,0.457221707,0.006291358,0.036520948
Os01g0332500,2.175673472,0.006282173,0.036481576
Os09g0445600,-1.387158815,0.006283152,0.036481576
Os03g0271600,-0.497075967,0.006261705,0.036373538
Os01g0550600,1.855886928,0.006259963,0.036371663
Os01g0748300,-1.445091031,0.006256972,0.036362532
Os05g0526900,-1.204717956,0.006255233,0.036360668
Os06g0184300,0.348508,0.006253589,0.036359365
Os03g0133900,-0.362979443,0.006250441,0.036349308
Os09g0425400,-1.445789001,0.0062353,0.036269486
Os01g0187900,-0.465370756,0.006221704,0.036198619
Os01g0846300,-0.601640428,0.006202719,0.036096358
Os05g0350500,0.412679212,0.006198699,0.036081157
Os08g0374000,-0.574800968,0.006198341,0.036081157
Os04g0529500,0.457266044,0.006195697,0.03608008
Os10g0569100,4.794947521,0.006176172,0.035974549
Os12g0113600,-1.357963953,0.006169833,0.035945798
Os10g0548200,-0.458745036,0.006158121,0.035885724
Os04g0526600,-0.457884618,0.006152571,0.035861538
Os02g0658400,-0.741360288,0.006143264,0.035815436
Os03g0127700,1.249518279,0.006141483,0.035813207
Os11g0596000,-0.879520993,0.006139391,0.035809156
Os07g0585700,-0.44208287,0.006136045,0.035797788
Os05g0319700,2.058133945,0.006132397,0.035784651
Os06g0663000,1.579891944,0.006116214,0.035700546
Os08g0393700,4.361981415,0.00611659,0.035700546
Os01g0880800,1.728116188,0.006106913,0.035661922
Os08g0553800,0.680217958,0.006107189,0.035661922
Os01g0191900,0.657888721,0.006102649,0.035651659
Os05g0543100,1.429199183,0.006099979,0.035644189
Os10g0323500,-0.640986983,0.006098691,0.035644189
Os05g0178400,0.466276277,0.006095693,0.0356417
Os08g0506400,0.665009358,0.006096771,0.0356417
Os05g0162600,0.712559454,0.006087814,0.035605585
Os09g0345300,1.505224029,0.006083323,0.035587438
Os12g0601400,1.012258714,0.006080881,0.035581279
Os01g0152951,-1.135518847,0.006060628,0.035470873
Os02g0548100,0.687805479,0.00605874,0.03546792
Os03g0855100,-4.571792848,0.006056129,0.035460737
Os10g0113000,3.90747156,0.006053806,0.035455239
Os08g0458200,-0.629442226,0.006045747,0.035416133
Os03g0306100,-2.250693512,0.006032024,0.035343828
Os09g0364400,-1.10894872,0.006028109,0.035328967
Os03g0741700,-0.5656506,0.0060261,0.035325272
Os11g0241900,-0.410763182,0.006023278,0.035316811
Os02g0617800,1.185351836,0.006013722,0.03526885
Os05g0395300,-0.350771193,0.006000608,0.035199993
Os05g0418600,-3.14439259,0.006000429,0.035199993
Os01g0294700,4.921208153,0.005985857,0.035129553
Os02g0733200,-0.770289194,0.005975589,0.035077326
ENSRNA049471602,-0.814196824,0.005973989,0.035075964
Os01g0342750,-0.832572006,0.005965349,0.035033268
Os05g0459400,1.872509037,0.005963169,0.035028491
Os08g0116900,0.541895742,0.005957694,0.035004353
Os07g0616000,0.482269788,0.005939921,0.034907934
Os10g0524300,-0.728298553,0.005932057,0.034869715
Os06g0625900,0.408456265,0.005924636,0.034834089
Os01g0747700,0.689656031,0.005917699,0.034801286
Os10g0469900,0.638108787,0.005905461,0.034737286
Os01g0805600,1.382537137,0.00589007,0.034655575
Os02g0784400,-1.015110852,0.005890217,0.034655575
Os06g0158900,-0.816294788,0.005881147,0.034618108
Os11g0539500,5.005259076,0.005867671,0.034546725
Os07g0583500,3.402855187,0.005857606,0.034495387
Os10g0390900,0.599053639,0.005849418,0.034455088
Os11g0296800,-0.372421191,0.005845788,0.034441627
