geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd1,hd2,hd3,c1,c2,c3
Os01g0128700,12.26605152,0.320317095,0.806843215,0.39700042,0.691367151,0.846505716,6.931669201,7.116496551,6.786726269,6.910384023,6.626926636,7.066271116
Os01g0128800,273.4006549,0.369442722,0.19762354,1.869426696,0.061563473,0.194194371,8.956176032,8.862043703,8.705893323,8.695465319,8.509210713,8.583574783
Os01g0129200,11.18419136,0.395130225,0.765232948,0.516352865,0.60560798,0.791721964,6.831864286,6.866088037,7.091930306,6.777035476,6.804552836,6.999945326
Os01g0129500,38.40630113,1.079823937,0.481800746,2.241225123,0.025011496,0.10237533,7.191150617,7.427181067,7.77488233,7.144701909,7.182873394,7.145193891
Os01g0129600,3.140179656,-1.216604798,1.673607762,-0.726935442,0.467265505,0.696974555,6.525405037,6.58094087,6.668918923,6.382921164,6.952147546,6.382921164
Os01g0129800,5.013415666,-1.462749864,1.264232422,-1.157026065,0.247261712,0.478807953,6.382921164,6.752660279,6.630703594,6.938576856,6.838068007,6.55525767
Os01g0130000,538.6860118,-0.567150132,0.154051071,-3.681572138,0.0002318,0.0025328,9.274293352,9.184086952,9.146550912,9.661881217,9.625404625,9.65187525
Os01g0130200,90.98796173,-0.16244608,0.32580978,-0.498591786,0.618066993,0.799325786,7.74952426,7.695771861,7.911768298,8.135815111,7.745659427,7.654605933
Os01g0130400,86.95176044,-0.274455429,0.298979308,-0.917974662,0.358632131,0.600132648,7.723494129,7.859116462,7.603093709,7.94507282,7.716844776,7.901629005
Os01g0130900,177.2987746,0.020253161,0.232918802,0.08695374,0.930708283,0.9722974,8.229402121,8.444959165,8.335526688,8.243689675,8.218558984,8.50101341
Os01g0131250,4.139495011,-1.490405139,1.497203269,-0.995459448,0.319512858,0.560131223,6.758985684,6.382921164,6.526095549,6.848669705,6.382921164,6.868359006
Os01g0131300,1731.811904,-0.30779945,0.135902967,-2.264847164,0.02352206,0.097869424,10.77777976,10.63050847,10.80650612,11.04565046,11.0828147,10.93318967
Os01g0131600,8.392580245,-3.872187688,1.077137979,-3.594885488,0.000324534,0.003346841,6.584342066,6.58094087,6.382921164,6.938576856,6.925972853,7.126313737
